Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,clab-clos-large-leaf24,Ethernet3,192.168.108.139/31,spine,clab-clos-large-spine1,Ethernet25,192.168.108.138/31
l3leaf,clab-clos-large-leaf24,Ethernet4,192.168.108.141/31,spine,clab-clos-large-spine2,Ethernet25,192.168.108.140/31
l3leaf,clab-clos-large-leaf24,Ethernet5,192.168.108.143/31,spine,clab-clos-large-spine3,Ethernet25,192.168.108.142/31
l3leaf,clab-clos-large-leaf25,Ethernet3,192.168.108.145/31,spine,clab-clos-large-spine1,Ethernet26,192.168.108.144/31
l3leaf,clab-clos-large-leaf25,Ethernet4,192.168.108.147/31,spine,clab-clos-large-spine2,Ethernet26,192.168.108.146/31
l3leaf,clab-clos-large-leaf25,Ethernet5,192.168.108.149/31,spine,clab-clos-large-spine3,Ethernet26,192.168.108.148/31
l3leaf,clab-clos-large-leaf26,Ethernet3,192.168.108.151/31,spine,clab-clos-large-spine1,Ethernet27,192.168.108.150/31
l3leaf,clab-clos-large-leaf26,Ethernet4,192.168.108.153/31,spine,clab-clos-large-spine2,Ethernet27,192.168.108.152/31
l3leaf,clab-clos-large-leaf26,Ethernet5,192.168.108.155/31,spine,clab-clos-large-spine3,Ethernet27,192.168.108.154/31
l3leaf,clab-clos-large-leaf27,Ethernet3,192.168.108.157/31,spine,clab-clos-large-spine1,Ethernet28,192.168.108.156/31
l3leaf,clab-clos-large-leaf27,Ethernet4,192.168.108.159/31,spine,clab-clos-large-spine2,Ethernet28,192.168.108.158/31
l3leaf,clab-clos-large-leaf27,Ethernet5,192.168.108.161/31,spine,clab-clos-large-spine3,Ethernet28,192.168.108.160/31
l3leaf,clab-clos-large-leaf28,Ethernet3,192.168.108.163/31,spine,clab-clos-large-spine1,Ethernet29,192.168.108.162/31
l3leaf,clab-clos-large-leaf28,Ethernet4,192.168.108.165/31,spine,clab-clos-large-spine2,Ethernet29,192.168.108.164/31
